Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
LOCAL,Dromm,"  82nd Street District Management Association, Inc.",113096017,,5000,DSBS,,37-06 82nd Street,Suite 309,Jackson Heights,NY,11372," To produce annual event called Viva La Comida!, a food, music, and cultural festival",,
YOUTH,Espinal,"  83rd Precinct Youth Council, Inc.",263865791,*,6000,DYCD,,480 KNICKERBOCKER AVENUE,SUITE 216,Brooklyn,NY,11237-5132,"Funding  to provide homework assistance, sport activities, educational & cultural experiences.  Monies will also be used to defray the cost of Summer Camp programming.",,
YOUTH,Reynoso,"  83rd Precinct Youth Council, Inc.",263865791,,5000,DYCD,,480 KNICKERBOCKER AVENUE,SUITE 216,BROOKLYN,NY,11237-5132,To support a low-cost summer camp program.,,
YOUTH,Garodnick,  92nd Street Y  (Young Mens and Young Womens Hebrew Association),131624229,,5000,DYCD,,1395 Lexington Avenue,,New York,NY,10128-1612,"Funding will support the 92nd Street Y's literacy, arts, science, recreational and civics programs for low-income families and youth.",,
YOUTH,Kallos,  92nd Street Y  (Young Mens and Young Womens Hebrew Association),131624229,,45500,DYCD, 92nd Street Y,1395 Lexington Avenue,,New York,NY,10128-1612,"To support the Educational Outreach Program, Teens Program literacy projects, scholarship funds, STEM programs or Digital Design Programs.",,
AGING,Kallos,  92nd Street Y  (Young Mens and Young Womens Hebrew Association),131624229,,14500,DFTA, 92nd Street Y,1395 Lexington Avenue,,New York,NY,10128-1612,"To support senior Center activities (enhancement for technology, social media, fitness, drama and music classes) and supplies to enrich these programs for beyond the basic funding from DFTA for the Stanley M. Isaacs Neighborhood Center.",,
LOCAL,Speaker,  92nd Street Y  (Young Mens and Young Womens Hebrew Association),131624229,,100000,DYCD,,1395 Lexington Avenue,,New York,NY,10128-1612,"Funds will continue to support programming at 92nd Street Y that is free-of-charge for the participants. The Educational Outreach Program brings high quality programming and instruction in music, dance, visual arts, literature, and science to over 7,500 at-risk New York City public school students. The Teen's Program provides free civics, leadership and community service education and opportunities to over 1,200 middle and high school students. Literacy Projects, provide ESL,  writing instruction, and exceptional literary presentations to 280 immigrant New Yorkers and those seeking GEDs.",,
LOCAL,Miller, 103rd Precinct Community Council,205484666,,5000,DYCD,,168-02 PO Edward Byrne Ave,2nd Floor,Jamaica,NY,"11432
-5229","Funds will support youth sports, basketball and softball games, field trips, and crime prevention activities such as our annual Crime Prevention safety fairs. Funds will also offset the cost of required uniforms /or T-shirts for the program, which are required for field trips and daily participation. We will also provide a safe haven event for children during holidays such as Halloween, and an Annual Children's holiday party for the less fortunate.",,
YOUTH,CD28, 103rd Precinct Community Council,205484666,,10000,DYCD,,168-02 PO Edward Byrne Ave,2nd Floor,Jamaica,NY,"11432
-5229","Youth sports, e.g. basketball  softball games, field trips for positive exposure to various cultural events and various crime prevention activities. To offset the cost of required uniforms /or T-shirts for the program (required for field trips and daily participation. To provide a safe haven event for children during holidays such as Halloween. Annual Children's Holiday party for the less fortunate.",,
LOCAL,Lancman, 107th Precinct Community Council,113134719,,4000,DYCD,,PO Box 650013,,Flushing,NY,11365,Graffiti clean-ups and holiday parties for kids in the community.,,
LOCAL,Koo," 109th Precinct Community Council, Inc.",112417336,,5000,DYCD,,37-05 Union Street,,Flushing,NY,11354,"Funds to support National Night Out; (including food, entertainment, advertising, print, tables, chairs, banners).",,
YOUTH,Dromm," 110th Precinct Community Council, Inc.",432025653,,3500,DYCD,,94-41 73rd Avenue,,Elmhurst,NY,11373,Funds will be used to support the National Night Out a crime/drug prevention awareness event.,,
YOUTH,Ferreras," 110th Precinct Community Council, Inc.",432025653,,3500,DYCD,,94-41 73rd Avenue,,Elmhurst,NY,11373,"To fund National Night Out, a crime/drug prevention awareness event that brings local law enforcement representatives and members of the community together to build ties to help solve and prevent crimes. Funds will support costs associated with exhibits, food, live music, activities, marketing/advertising, equipment rental, vendors, bookkeeping fees, general program supplies and general operating program expenses.",,
LOCAL,Constantinides," 114th Civilian Observation Patrol, Inc.",112572881,,10000,DSBS,,31-38 29 Street,Bsmt,Astoria,NY,11106,Funding will be used to support a graffiti removal program and community safety programming. ,,
LOCAL,Matteo," 122nd Precinct Community Council, Inc.",133371153,,2000,DYCD,,2360 Hylan Blvd,,Staten Island,NY,10306,Funds will be use to support National Night Out,,
LOCAL,Dickens, 131 Saint Nicholas Avenue Tenant's League,133513113,*,3500,NYCHA,,131 Saint Nicholas Avenue,,NEW YORK,,10026,"To support an annual Family Day event, providing food for the needy, including the homeless, and providing other services for children, and the elderly in the community.  ",,
YOUTH,Dickens," 142nd Street Block Association, Inc.",753252444,*,4286,DYCD,,115 West  142 Street 5A,,New York,,10030,"To support the 142nd Street Block Association's Youth Workforce Fair, a one-day event for at-risk youth on how to succeed in today’s job market.  ",,
LOCAL,Gibson," 161st Street Merchants Association, Inc.",300064721,,8000,DYCD,,2865 KINGSBRIDGE TERRACE,SUITE 7M,BRONX,NY,10463,"To support a Back-to-School Health Fair, turkey give-away to homeless veterans and residents, and the annual Holiday Celebration benefiting the South Bronx less-fortunate. ",,
LOCAL,Arroyo," 161st Street Merchants Association, Inc.",300064721,,5000,DYCD,,2865 Kingsbridge Terrace,Suite 7M,Bronx,NY,10463,"To support a Back-to-School Jamm/Health Fair, a Holiday Celebration and other activities for community residents and homeless children and families. ",,
LOCAL,Mark-Viverito," 161st Street Merchants Association, Inc.",300064721,,5000,DYCD,,2865 KINGSBRIDGE TERRACE,SUITE 7M,BRONX,NY,10463,"Funds will be used to support various community projects and events such as, but not limited to the Back-to-School Jamm/Health Fair & Holiday Celebration and the Thanksgiving Turkey Give-Away.",,
LOCAL,Cornegy," 500 Men Making a Difference, Inc.",452568264,,5000,DYCD,,386 Monroe St,,Brooklyn,NY,11221,The funds will be used to hire a full time Manager and a part time coordinator to manage an over 800 person data base of men.  These employees will organize and send volunteer men to our partner organizations that need male mentors.  ,,
YOUTH,Cumbo," 500 Men Making a Difference, Inc.",452568264,,3500,DYCD,,386 Monroe St,,Brooklyn,NY,11221,Funds will be used to hire a full time Manager and a part time coordinator to manage the over 800 person data base of men.,,
LOCAL,Gibson,"1332 Fulton Avenue Day Care Center, Inc.",132690309,,30000,ACS,,1332 Fulton Avenue,,Bronx,NY,10456,"The allocated funds will be used towards child care services to be used for OTPS, children's trips, and other services that will aide in the experiences had by the children serviced and the community.",,
AGING,Gibson,"1332 Fulton Avenue Day Care Center, Inc.",132690309,,20000,DFTA,,1332 Fulton Avenue,,Bronx,NY,10456,"Funds will go towards providing senior citizens that are or have been raising children with counseling, referrals, social services and social events within the district. ",,
LOCAL,Cabrera,"2020 Vision for Schools, Inc.",453023036,,7000,DYCD,,8225 5th Avenue 323,,Brooklyn,NY,11209,"Funds will empower students to create public art that transforms public schools and neighborhoods, through either a collaborative schoolyard mural or an in-school master class that produces a mural for a nearby community organization. Grant proceeds pay for materials, resident artists, and project management staff.",,
LOCAL,Gentile,"2020 Vision for Schools, Inc.",453023036,,5000,DYCD,,8225 5th Avenue 323,,Brooklyn,NY,11209,"Funds will be used to work with children on a public art project/master class; funds will pay for materials, resident artists, and project management staff.",,
LOCAL,Miller,"A Better Jamaica, Inc.",113804421,*,5000,DYCD,,114-73 178th Street,,Jamaica,NY,11434-1456,"Funds will be used for exhibition rights, marketing costs, and staff costs.",,
LOCAL,Miller,"A Better Jamaica, Inc.",113804421,*,5000,DYCD,,114-73 178th Street,,Jamaica,NY,11434-1456,Funds are used to pay stipends to the senior citizens -- 60 per week for six hours of weekly service.,,
LOCAL,Dickens,"A Better Jamaica, Inc.",113804421,*,4500,DYCD,,114-73 178th Street,,Jamaica,,11434-1456,"To support the annual HarlemWeen celebration,  a free family-friendly Halloween costume/dance party on the plaza of the Adam Clayton Powell, Jr. State Office Building.  Funds will be used to pay performers, cover A/V costs, and meet marketing needs.",,
LOCAL,Lancman,"A Better Jamaica, Inc.",113804421,*,5000,DYCD,,114-73 178th Street,,Jamaica,New York,11434-1456,"Funding to provide summer movie series that presents classic films on Friday evenings in downtown Jamaica's Rufus King Park, including licensing, marketing, staffing and related costs.",,
YOUTH,Chin,"A Place for Kids, Inc.",133624631,*,5000,DYCD,,111 Division Street,,New York,NY,10002,"To support education program for at-risk children, parent professional workshops, student workshops in literacy arts, and in-school musical programs at local schools.",,
YOUTH,Ignizio,"A Very Special Place, Inc.",133005006,,3500,DYCD,,49 Cedar Grove Avenue,,Staten Island,NY,10306,"Funding will support the Community Center, an evening and weekend therapeutic program for those with developmental disabilities.",,
LOCAL,Matteo,"A Very Special Place, Inc.",133005006,,5000,DYCD,,49 Cedar Grove Avenue,,Staten Island,NY,10306,"Funds will be use to support the Community Center with their evening and weekend therapeutic recreation and respite program for  people, 18 years of age and older who have a developmental disability.",,
LOCAL,Dickens,A. Philip Randolph Houses Tenant Association,136400434,,3500,NYCHA,,251 W. 114th St,,New York,,10026,"To provide back to schools supplies, meals, health care information, and activities for the children.",,
LOCAL,Dickens,Aaron Davis Hall,133166308,,4000,DCLA,,150 Convent Avenue,,New York,,10031,"To support the International Series, a theater arts program in six core schools in Districts 7 and 9 in Harlem.  The programs, Harlem Stage in the Schools and a Family Series, integrate education with main stage performance programs.",,
AGING,Dromm,AARP Chapter #991 Jackson Heights,237247760,,3500,DFTA,,3706 77th street,,jackson heights,NY,11372,To fund rent for meeting space for seniors program,,
LOCAL,Vacca,AARP Fort Schulyer Chapter  #1242,237247809,,1000,DFTA,,937 Revere Avenue,,Bronx,NY,,"To fund a place for seniors to meet, socialize, and get educated about health and safety issues, and provide opportunity for community service.",Neighborhood Initiatives Development Corporation (NIDC),133110811
YOUTH,Mark-Viverito,"Abraham House, Inc.",133721924,,17000,DYCD,,340 Willis Avenue,,Bronx,NY,10454,"Funds will be used to enhance the After-School and Summer Program offering a safe haven, academic support, counseling, and youth development curriculum.",,
LOCAL,Dickens,Abraham Lincoln Neighborhood Development Corporation,753260950,,3500,NYCHA,,2150 Madison Avenue Suite 1D,,New York,,10037,"To support an annual Family Day with entertainment, refreshments, activities, books for children, health information and screenings and other activities for residents of the Abraham Lincoln neighborhood. ",,
YOUTH,Johnson,"Abundant Waters, Inc.",133706659,,9000,DYCD,,400 W 43rd St,36G,New York,NY,10036,To provide learning specialist support for learning-disabled children in the program.,,
AGING,Dickens,Abyssinian Development Corporation,133552154,*,4250,DFTA,,4 West 125th Street,,New York,,10027,"ADC NNORC, The program will invest funds to provide program activities, office supplies and operational expenses.",,
LOCAL,Menchaca,Academy of Medical And Public Health Services,272206293,,5000,DOHMH,,5306 Third Avenue 2nd Floor,,Brooklyn,NY,11220-2601,"Funds to support The Community Health Project (CHP) which provides comprehensive health screenings, health coaching, and social assistance.  FY15 funds will be used to cover screening and administrative supplies and equipment. ",,
AGING,Menchaca,Academy Of Medical And Public Health Services,272206293,,3500,DFTA,,5306 Third Avenue 2nd Floor,,Brooklyn,NY,11220-2601,"Funds to support The Health Literacy for the Elderly Program which offers  health education workshops to promote knowledge of diseases, health and nutrition management, and up-to-date healthcare regulations specifically to the elderly immigrant population.  FY15 funds will specifically cover the development of workshop materials, workshop space, instructor stipends, participant meals, and outreach materials.",,
LOCAL,Ulrich,"Achiezer Community Resource Center, Inc.",274592919,,3500,DOHMH,,144 Beach 9th Street,,Far rockaway,NY,11691,Funds will be used to support family crisis division services,,
LOCAL,Greenfield,"Achiezer Community Resource Center, Inc.",274592919,,5000,DOHMH,,144 Beach 9th Street,,Far rockaway,NY,11691,"Funding will support our family crisis division. This unique program combines all aspects of medical, mental health and family well being and is carried out with a specific protocol that allows for a tailor made wholesome solution for families experiencing a particular crisis.",,
LOCAL,Levin,"Actors Fund of America, The",131635251,,3500,DCLA,,729 Seventh Avenue,,New York,NY,10019,"To support The Actors Fund Arts Center, a community resource and affordable performance venue for small, emerging and culturally-specific Brooklyn-based artists and arts groups. ",,
AGING,Johnson,"Actors Fund of America, The",131635251,,5000,DFTA,,729 Seventh Avenue 10th Floor,,New York,NY,10019,"Funding is requested to support The Actors Funds work with its Seniors Advisory Committee,  which was established in 2011 to survey local seniors and make recommendations on how best to serve the aging population of the Chelsea/Hells Kitchen neighborhoods. The Actors Fund continues to work with the Seniors Advisory Committee to implement the recommendations made in its Seniors Community Survey, published in June 2013. Funding will cover staff salaries.",,
LOCAL,Treyger ,ACTS Community Development Corporation,010679652,,0,DYCD,,2114 Mermaid Avenue,,Brooklyn,NY,11224,Funds to support emergency food services.,,
LOCAL,Crowley,Adhikaar For Human Rights And Social Justice,203384725,,3500,DYCD,,71-07 Woodside Avenue,1st Fl,Woodside,NY,11377,"Funds to support Community Center, equipment, and programming supplies.",,
LOCAL,Dromm,Adhikaar For Human Rights And Social Justice,203384725,,9500,DYCD,,71-07 Woodside Avenue,1st Fl,Woodside,NY,11377,To fund English for Empowerment classes for NYC Nepali-speaking community.,,
LOCAL,Mendez,"Advocates for Children of New York, Inc.",112247307,,4250,DYCD,,151 West 30th Street 5th Floor,,New York,NY,10001,"Funding to support the Jill Chaifetz Education Helpline free consultation to parents regarding DOE  school-related  issues, guidance. ",,
YOUTH,King,African American Life,800379312,,7000,DYCD,,4127 Monticello Avenue,,Bronx,NY,10466,"The funding will be used to help tutor students from predominately African American and Latino heritage in the Bronx to prepare for the College boards, SAT, ACT, GRE, etc. They will have cultural enhancement, trips to local and distant colleges.",,
LOCAL,Cornegy,"African American Planning Commission, Inc.",113305070,,12000,DSS/HRA,,African American Planning Commission Inc,668 Lafatette Ave,Brooklyn,NY,11216-1031,To beautify and improve the usefulness and safety of the AAPCI playground for the benefit of the children of all residents.,,
LOCAL,Dickens,African American Women In Cinema,134151020,*,3500,DYCD,,2006 Westchester Avenue,,Parkchester,,10462,"To support local women filmmakers, by off-setting the cost of the pre-production as well as the production of the African American Women in Cinema film festival.",,
LOCAL,Williams,African American Women In Cinema,134151020,*,4000,DYCD,,2006 Westchester Avenue,,Parkchester,NY,10462,Funds to assist with the cost of executing the 17th Annual Film Festival that will be taking place citywide.,,
YOUTH,Dickens,African Diaspora Film Festival,743058513,*,4000,DYCD,,535 Cathedral Parkway - St 14B,,New York,,10025,"To provide tickets for young people at elementary, intermediate and high school students to attend screenings at the African Diaspora Film Festival.",,
YOUTH,Rose,"African Refuge, Inc.",010873188,,10000,DYCD,,185 Park Hill Ave Suite LB,,Staten Island,NY,10301,Funding to support  Youth Educational and Recreational Programs. Funds will be used for staff and programmatic expenses.,,
LOCAL,Speaker,"African Refuge, Inc.",010873188,,50000,DYCD,,185 Park HIll Ave Suite LB,,Staten Island,NY,10304,"AR Inc.is seeking support to operate a Runaway and Homeless Youth Transitional Living Program for teen parents and children.  Funds will used to support staff, operational expenses and administrative cost.",,
LOCAL,Speaker,"African Services Committee, Inc.",133749744,,20000,DOHMH,,429 West 127th St,,New York,NY,10027,"Funding to provide legal services including immigration services for a broad range of clients from over 30 countries each year. The program provides legal assistance with deferred action for childhood arrivals(DACA), employment, asylum, improper deportation, immigration status adjustment, family-based petitions, visa renewals, and citizenship.  Our ESOL program offers 3 evening lasses per week in basic literacy and ESOL Level 1, to 120 recently-arrived African immigrants per year.   ",,
LOCAL,Cumbo,"African Voices Communications, Inc.",133687018,,3000,DCLA,,270 West 96th Street,,New York,NY,10025,"Funds to offset cost for artist fees and honorariums, marketing and other operating costs for the Reel Sisters of the Diaspora Film Festival  Lecture Series, an annual Brooklyn-based festival serving the independent film community.  ",,
LOCAL,Williams,"African Voices Communications, Inc.",133687018,,8000,DCLA,,270 West 96th Street,,New York,NY,10025,Funding for Reel Sisters of the Diaspora Film Festival  Lecture Series,,
LOCAL,Speaker,"After Hours Project, Inc.",331007278,,35000,DOHMH,,1204 Broadway,,Brooklyn,NY,11221,"Funding to address the continued spread of HIV/AIDS in low-income and minority central Brooklyn neighborhoods significantly impacted by high rates of injection drug use (IDU), HIV/Hepatitis (A, B, and C) and sexually transmitted infections (STIs).",,
YOUTH,Richards,Agape Community Services Corporation,311785007,,5000,DYCD,,138-35 Springfield  Blvd,,Springfield Gardens,NY,11413,"Funding will assist in the development and enhancement of  annual summer camp  The funding will also assist in sponsoring  yearly summer trips for the children and youth, and further establish an ongoing after school program.",,
LOCAL,Deutsch,"Agudath Israel of America Community Services, Inc.",133975090,,25000,DYCD,,42 Broadway 14th Floor,,New York,NY,10004,"To provide education, career counseling, and job services for unemployed and underemployed individuals.",,
LOCAL,Levine,"Agudath Israel of America Community Services, Inc.",133975090,,5000,DYCD,,42 Broadway 14th Floor,,New York,NY,10004,"Funds to cover the costs of services, including pre-employment counseling, literacy, and skills training. In addition, those in crisis will be given advice and referral in such areas as credit card debt, family support, etc. ",,
AGING,Eugene,"Agudath Israel of America Community Services, Inc.",133975090,,16625,DFTA,,42 Broadway,,New York,NY,10004,"Funds will be used for rec/ed,  printing, replacement items, and contracts  fees",,
AGING,Rodriguez,"Agudath Israel of America Community Services, Inc.",133975090,,10000,DFTA,,42 Broadway - 14th Floor,,New York,NY,10004,Funding to subsidize raw food costs for Moriah Senior Center,,
LOCAL,Treyger ,"Agudath Israel of America Community Services, Inc.",133975090,,5000,DYCD,,42 Broadway 14th Floor,,New York,NY,10004,"Funds will be used to provide education, career counseling, and job services for unemployed and underemployed individuals, many of whom are low income. Services will include pre-employment counseling, literacy, and skills training. In addition, those in crisis will be given advice and referral in such areas as credit card debt, family support, etc. A social services centralized LR services will address educational, social services, and legal needs.",,
AGING,Greenfield,"Agudath Israel of America Community Services, Inc.",133975090,*,15000,DFTA,,42 Broadway,,New York,NY,10004,"Funds will be used for rec/ed,  printing, replacement items, and contracts  fees",,
LOCAL,Lancman,"Agudath Israel of America Community Services, Inc.",133975090,,25000,DYCD,,42 Broadway 14th Floor,,New York,NY,10004,"Education, career counseling, and job services for unemployed and underemployed individuals and referral in such areas as credit card debt, family support and legal needs.",,
YOUTH,Menchaca,"Agudath Israel of America Community Services, Inc.",133975090,,3500,DYCD,,42 Broadway 14th Floor,,New York,NY,10004,"Funds  to provide education, career counseling, and job services for unemployed and underemployed individuals, many of whom are low income. Services will include pre-employment counseling, literacy, and skills training. ",,
LOCAL,Speaker,"Agudath Israel of America Community Services, Inc.",133975090,,50000,DYCD,,42 Broadway 14th Floor,,New York,NY,10004,"To provide education, career counseling, and job services for unemployed and underemployed individuals, many of whom are low income individuals.",,
LOCAL,Speaker,"AIDS Center of Queens County, Inc.",112837894,,75000,DOHMH,,161-21 Jamaica Avenue,,Jamaica,NY,11432,To fund homeless youth drop-in center.,,
LOCAL,Garodnick,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,5000,DOHMH,,41 East 11th Street,5th Floor,New York,NY,10003,Funding will support programs to help HIV-positive people manage their health and navigate the medical system.,,
LOCAL,Palma,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,5000,DOHMH,,41 East 11th Street,5th Floor,New York,NY,10003,"To provide dedicated Peer Health Coaches for individuals with HIV or other long term chronic health issues to provide support, advocacy and other services.  ",,
LOCAL,Johnson,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,5000,DOHMH,,41 East 11th Street,5th Floor,New York,NY,10003,"To support a Health COACH program, providing people living with HIV and other chronic illnesses a one-on-one personal approach to care, accompanying them to appointments, sharing strategies for medication adherence, helping them communicate with their doctors and creating social connections that will sustain them in medical care. Funds will be used to train Peer Health Coaches and to support one dedicated Peer Health Coach.",,
LOCAL,Speaker,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,15000,DOHMH,,41 East 11th Street,5th Floor,New York,NY,10003,"To fund the COACH program—Comprehensive Outreach And Connection to Healthcare—Social Workers and Peer Educators will provide health education, peer coaching, accompaniment to appointments, meals, and routine communication with medical staff to ensure that patients living with HIV, hep. C, diabetes and other chronic illnesses receive consistent, high quality care. Peer Health Coaches provide the individualized support necessary to sustaining patients in care.",,
LOCAL,Constantinides,"Aktina Productions, Inc.",113220961,,9000,DOITT,,23-50 27th Street,,Astoria,NY,"11105
-3110",Funding will be used for news and information outreach into the Greek-speaking community of New York,,
LOCAL,Vallone,"Aktina Productions, Inc.",113220961,,3500,DOITT,,23-50 27th Street,,Astoria,NY,"11105
-3110",Funds will cover part of the annual airtime fees for the highly rated radio and television programs AKTINA FM and AKTINA TV,,
LOCAL,Lancman,All My Children Daycare and Nursery School,113371679,,5000,ACS,,1519 Union Street,,Brooklyn,NY,11213,Funds will be used to provide child care services.,,
LOCAL,Mendez,"All Out Arts, Inc.",061284862,,4500,DCLA,,145 East 27th Street apt 1A,,New York,NY,10016,"Funding to support 12th annual Festival of LGBTQ arts and culture, (plays, art shows, film, dance, lectures and music programs.)  ",,
AGING,Miller,"Allen Community Senior Citizens Center, Inc.",112326244,,5000,DFTA,,166-01 Linden Boulevard,,Jamaica,NY,11434-1243,"Funds will be used to help with the rising cost of food and to help maintain operation of our refrigerators and freezers as well as a new serving cart.  To also fund senior trips, purchase a new copier machine, ink and paper supplies for our computer class, and a DVD player.",,
LOCAL,Speaker,Alley Pond Environmental Center Inc,112405466,,50000,DCLA,,Alley Pond Environmental Cetner Inc,228-06 Northern Boulevard,Douglaston,NY,11362,Funding  to conduct environmental education programs for children ages 18 months through adults at reasonable rates as well as service children in low income areas at our class visitation programs. ,,
LOCAL,Koo,"Alley Pond Environmental Center, Inc.",112405466,,5000,DCLA,,Alley Pond Environmental Cetner Inc,228-06 Northern Boulevard,Douglaston,NY,11362,To help cover program implementation costs. ,,
LOCAL,Vallone,"Alley Pond Environmental Center, Inc.",112405466,,30000,DCLA,,Alley Pond Environmental Cetner Inc,228-06 Northern Boulevard,Douglaston,NY,11362,To fund expenses that allow APEC to conduct environmental education programs for children ages 18 months through adults at reasonable rates as well as service children in low income areas with class visitation programs.,,
YOUTH,Weprin,"Alley Pond Environmental Center, Inc.",112405466,,26000,DYCD,,Alley Pond Environmental Cetner Inc,228-06 Northern Boulevard,Douglaston,NY,11362,To support environmental programs for children from low income areas. ,,
LOCAL,Johnson,"Alliance of Resident Theatres/New York, Inc.",132768583,,3500,DCLA,,520 Eighth Avenue Suite 319,,New York,NY,10018-8654,"To provide support and service New York City’s nonprofit theatres, through funding to pay costs related to the SPACES@520 facility.",,
LOCAL,Mendez,"Allied Productions, Inc.",133123525,,3500,DCLA,,PO Box 20260,Tompkins Square Station,New York NY 10009,NY,10009,"Funding to support (LPV) film screenings, craft workshops, music, theater, installations and other gatherings that seek to engage the local/arts community and events @ Le Petit Versailles",,
