Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Youth,Dromm,"110th Precinct Community Council, Inc.",432025653,,"$3,500",DYCD,,94-41 43rd Avenue,,Elmhurst,NY,11373,To support youth centered programming designed to heighten crime and drug prevention and awareness in youth and for general operating expenses and bookkeeping fees.,,
Youth,Wills,113th Precinct Community Council,113218377,,"$3,500",DYCD,,167-02 Baisley Boulevard,,Jamaica,NY,11434,"To develop relationships and promote interaction between community youth and police officers by providing transportation and admissions for cultural, educational and entertainment trips and activities. ",,
Local,Dickens,131 Saint Nicholas Avenue Tenant's League,133513113,,"$3,500",NYCHA,,131 Saint Nicholas Avenue,,NEW YORK,,10026,"To support an annual Family Day event, providing food for the needy, including the homeless, and providing other services for children and the elderly in the community.  ",,
Discretionary Child Care ,Foster,"1332 Fulton Avenue Day Care Center, Inc.",132690309,,"$1,383,683 ",ACS,1332 Fulton Ave DCC,1332 Fulton Avenue,,,NY,,"This allocation restores funding for 4,019 contracted child care slots and 900 family child care slots (pro-rated for 9 months.) ",,
Youth,Foster,"1332 Fulton Avenue Day Care Center, Inc.",132690309,,"$33,000",DYCD,,1332 Fulton Avenue,,Bronx,NY,10457,"To provide disadvantaged youth of South Bronx with homework assistant, arts and crafts  workshops, and trips to educational, cultural, and recreational events.",,
Aging,Foster,"1332 Fulton Avenue Day Care Center, Inc.",132690309,,"$21,750",DFTA,,1332 Fulton Avenue,,Bronx,NY,10456,"To provide seniors that are or have been raising children other than their own with counseling and social events to help them cope with their problems related to raising these children. Funding to cover costs associated with workshops, meetings, and trips.",,
Youth,Dickens,"142nd Street Block Association, Inc.",753252444,,"$4,000",DYCD,,115 West  142 Street 5A,,New York,,10030,"To support the 142nd Street Block Association's Youth Workforce Fair, a one-day event for at-risk youth on how to succeed in today’s job market.  ",,
Local,Dilan,"2020 Vision for Schools, Inc.",453023036,,"$10,000",DOE,,8225 5th Avenue 323,,Brooklyn,NY,11209,"The funds will support a community partnership that provides student enrichment programs at one public school in the Council district. Specifically, funds will be used for partnership formation and management, volunteer recruitment and training, program coordinator, curriculum, promotions/printing, and refreshments.",,
Local,Gentile,"2020 Vision for Schools, Inc.",453023036,,"$3,500",DYCD,,8225 5th Avenue 323,,Brooklyn,NY,11209,"To provide student enrichment programs, including life skills, job skills, mentoring, tutoring and student leadership, at a school in CD #43.",,
Local,Cabrera,"2020 Vision for Schools, Inc.",453023036,,"$7,000",DOE,,8225 5th Avenue 323,,Brooklyn,NY,11209,"To improve public education by creating and supporting community-school partnerships.  Funding will be used for partnership formation and management, volunteer recruitment and training, a program coordinator, curriculum development, and promotional materials.  ",,
Local,Cabrera,46th Precinct Community Council,800448459,,"$5,000",DYCD,,2120 Ryer Avenue,,Bronx,NY,10457,To encourage direct communication between the police and the community to address community safety issues.  Funding will be used to hold community events by renting equipment and providing entertainment.,,
Local,Vann,"500 Men Making a Difference, Inc.",452568264,,"$5,000",DYCD,,386 Monroe Street,,Brooklyn,NY,11221,"To assist in the staffing, training, administrative and support services of the organization's mentoring program.  The mentoring program works with  the Brooklyn District Attorneys Office and local elementary, middle, and high schools in Brooklyn.",,
Youth,Levin,"78th Precinct Youth Council, Inc.",112947101,,"$8,000",DYCD,,123 Seventh Avenue PMB 202,,Brooklyn,NY,11215,"To provide flag football, baseball and basketball, as well as general fitness programsfor youth.",,
Local,Vann,81st Precinct Community Council,800901280,,"$5,000",DYCD,,30 Ralph Avenue,,Brooklyn,NY,11221,"To provide annual events consisting of entertainment, and services to youth members of the community.",,
Youth,Dromm,82nd Street Academics,200788352,,"$35,857",DYCD,,81-10 35th Avenue,,Jackson Heights,NY,11372,To support an After School program at the Renaissance Charter Schools.,,
Local,Viverito,830 Amsterdam Tenant Association,136400434,,$500,NYCHA,,"830 Amsterdam Ave, #3C",,New York,,#N/A,"To support community activities and events for residents of the development, including annual family days. Funding will support the purchase of refreshments, supplies and entertainment at these events.",,
Local,James,88th Precinct,112799514,,"$1,500",DYCD,,,,BrooklynNY,NY,,"Bringing the police into contact with the neighborhoods that they serve can forge positive relations based on trust, helping reduce resident fear of crime while improving the ability of officers to work with communities to solve crimes when they happen.",,
Local,CC,92nd Street Y (Young Men's and Young Women's Hebrew Association),131624229,,$0 ,DYCD,,1395 Lexington Avenue,,New York,New YorkNY,10128,"Funds will continue to support programming at 92nd Street Y that is free-of-charge for the participants. The Educational Outreach Program brings high quality programming and instruction in music, dance, visual arts, literature, and science to over 7,500 at-risk New York City public school students. The Teens Program provides free civics, leadership and community service education and opportunities to over 1,200 middle and high school students. Literacy Projects, provide ESL,  writing instruction, and exceptional literary presentations to 280 immigrant New Yorkers and those seeking GEDs.",,
Local,Jackson,99 Fort Washington,136400434,,"$2,000",NYCHA,,,,,,,,,
Local,Dickens,"A Better Jamaica, Inc.",113804421,,"$3,500",DYCD,,114-73 178th Street,,Jamaica,,11434-1456,"To support the annual HarlemWeen celebration, a free family-friendly Halloween costume/dance party on the plaza of the Adam Clayton Powell, Jr. State Office Building.  Funds will be used to\ pay performers, cover A/V costs, and meet marketing needs.",,
Boro,Comrie,"A Better Jamaica, Inc.",113804421,,"$4,000",DYCD,,114-73 178th Street,,Jamaica,NY,11434-1456,"To exhibit a free Spanish language movie at the Jamaica Performing Arts Center, in a Spanish-speaking immigrant area. Funds will be used for staff costs, exhibition rights, venue rental and marketing.",,
Boro,Comrie,"A Better Jamaica, Inc.",113804421,,"$4,500",DYCD,,114-73 178th Street,,Jamaica,NY,11434-1456,"To support family movies in Jamaica parks -- including Cambria, Brookville, Baisley Pond and St. Albans Park.  ",,
Youth,Chin,"A Place for Kids, Inc.",133624631,,"$4,000",DYCD,,111 Division Street,,New York,NY,10002,"To support Literacy Arts Program and further develop the internship and volunteer programs. Funding will be used for the director’s salary.
",,
Youth,Ignizio,"A Very Special Place, Inc.",133005006,,"$3,500",DYCD,,49 Cedar Grove Avenue,,Staten Island,NY,10306,To support The Community Center in providing therapeutic recreation for persons 18 years of age or older with developmental disabilities.,,
Local,Oddo,"A Very Special Place, Inc.",133005006,,"$16,000",DYCD,,49 Cedar Grove Avenue,,Staten Island,NY,10306,"Funds will support the Community Center, an evening and weekend therapeutic recreation and respite program for adults with developmental disabilities. ",,
Local,Fidler,A. Genovesi Environmental Center,136400434,,"$33,000",DOE,,7103 Avenue T,,Brooklyn,,11234-6244,"To support science teaching in public schools in Community School District 22,  parts of 18, 20,  21, providing each classroom with an expert Science Support Specialist who incorporates inquiry based science teaching into the curriculum.",,
Local,Dickens,A. Philip Randolph Houses Tenant Association,136400434,,"$3,500",NYCHA,,251 W. 114th St,,New York,,10026,"to provide back to schools supplies, meals, health care information, and activities for the children.",,
Local,Dickens,Aaron Davis Hall,133166308,,"$5,000",DCLA,,150 Convent Avenue,,New York,,10031,"To support the International Series, a theater arts program in six core schools in Districts 7 and 9 in Harlem.  The programs, Harlem Stage in the Schools and a Family Series, integrate education with main stage performance programs.",,
Local,Jackson,Aaron Davis Hall,133166308,,"$4,000",DCLA,,150 Convent Avenue,,New York,NY,10031,"Funds will support arts education programs, working with the organization's six core schools in Harlem (primarily Districts 7 and 9), integrating educational activties with stage performance programs and creating opportunities for students and their families to experience the arts.",,
Aging,Dromm,AARP Chapter #991 Jackson Heights,237247760,,"$3,750",DFTA,,3706 77th street,,Jackson Heights,NY,11372,To provide social and educational experiences for seniors residing in CD 25. Funds will be used for operating expenses and for programming.,,
Local,Vacca,AARP Fort Schulyer Chapter  #1242,237247809,,"$1,000",DFTA,,937 Revere Avenue,,Bronx,NY,10465,"To provide for a place for seniors to meet, socialize, and get educated about health and safety issues and provide opportunity for community service in partnership with St. Peters Food Pantry and Providence Rest.",Neighborhood Initiatives Development Corporation (NIDC),133110811
Local,Quinn,Abingdon Theatre Company,133741268,,"$5,000",DCLA,,312 West 36th Street 6th Floor,,New York,,10018,"To support the programs and productions of the theater company, including the production of new American plays, hosted readings, a one-act play festival, children's theatre productions, and other programming for the public. ",,
Youth,Viverito,"Abraham House, Inc.",133721924,,"$10,500",DYCD,,340 Willis Avenue,,Bronx,,10454,"To support after school and summer programs for youth in art, STEM (Science, Technology, English and Math), and youth development.",,
Local,Dickens,Abraham Lincoln Neighborhood Development Corporation,753260950,,"$4,000",NYCHA,,2150 Madison Avenue Suite 1D,,New York,,10037,"To support an annual Family Day on August 3, 2013 with entertainment, activities, books for children, health information and screenings and other activities for residents of the Abraham Lincoln neighborhood. ",,
Youth,Quinn,"Abundant Waters, Inc.",133706659,,"$4,000",DYCD,,400 W 43rd St 36 G,,New York,,10036,To provide learning specialist support for learning-disabled children in the program.,,
HIV/AIDS Faith Based Initiative,,Abyssinian Baptist Church,131635250,,"$6,400",DOHMH,,,,,,,,,
Aging,Dickens,Abyssinian Development Corporation,133552154,,"$4,250",DFTA,,4 West 125th Street,,New York,,10027,"ADC NNORC, The program will invest funds to provide program activities, office supplies and aperational expenses.",,
HIV/AIDS Faith Based Initiative,,Abyssinian Development Corporation,133552154,,"$6,400",DOHMH,,,,,,,,,
Local,Gonzalez,Academy Of Medical And Public Health Services,272206293,,"$3,500",DOHMH,,5306 Third Avenue 2nd Floor,,Brooklyn,,11220-2601,"To support AMPHS Community Health Project and provide free health screenings, vision assistance for free/low-cost prescription lenses; prescription counseling and assistance in collaboration with Big Apple Rx; health education; and online health management.",,
MWBE Leadership Association,,"ACCION East, Inc.",113317234,,"$66,705",DSBS,,,,,,,Funding will provide for a range of services including guidance on government contracting for potential or City-certified MWBEs; assistance in connecting MWBEs to potential customers; aid in the development of bids and proposals; assistance in securing project financing and bonding; and the promotion and marketing of the City’s MWBE program.,,
Small Business and Job Development/Financial Literacy,,"ACCION East, Inc.",113317234,,"$64,500",DSBS,,,,,,,"Funding will provide technical and financial assistance, business counseling and financial literacy education to entrepreneurs and small businesses.",,
Local,Koslowitz,Achilles International Inc.,133318293,,"$3,500",DYCD,,42 West 38th Street,Suite 400,New York,NY,10018,"To support The Achilles process of physical strengthening that has been adapted to the specific needs of wounded members of the U.S. military. Funding is used to provide program participants with training as well as use of specialized adaptive devices, such as hand-crank wheelchairs.",,
Local,Oddo,Achilles International Inc.,133318293,,"$3,500",DYCD,,42 West 38th Street,Suite 400,New York,NY,10018,This funding will be used to support the organization's work in providing invididual veterans disabled in the service of our country with the ability to participate in athletics and have mobility. ,,
Local,Quinn,"Actors Fund of America, The",131635251,,"$3,500",DFTA,,729 7th Avenue,,New York,,10019,To support the printing and distribution of a Seniors Resource Directory for senior citizens residing in Community District 4 in Manhattan.,,
Local,CC,ACTS Community Development Corporation,010679652,,"$20,000 ",DYCD,,1913 West 7th Street,,Brooklyn,NY,11223,"The Lighthouse Mission is dedicated to fighting hunger and poverty in the Coney Island community, providing families with food assistance. The Mission offers pre-screenings for government benefits, an after-school program for at-risk youth, social service referrals to drug and alcohol counseling, emergency food and clothing support,  job readiness training, and more.",,
Local,James,Addiction Research and Treatment Corporation,132642451,,"$3,500",DYCD,,22 Chapel Street,,Brooklyn,NY,11201,"To provide for tuition fees for training in horticulture at the Horticultural Society of New York, outreach to the Fulton Area Business Alliance, and to assist in the upkeep of the Fulton Street area.",,
Local,Vann,"Adelaide L. Sandord Institute, Inc.",270589817,,"$10,000",DYCD,,PO BOX 640039,,Oakland Gardens,NY,11364-0039,"To provide books, videos, printing materials, flyers, brochures, and training manuals for parents to assist their children at home, and metro cards, transportation costs and breakfast for parents to attend monthly meetings.",,
Local,Dromm,Adhikaar For Human Rights And Social Justice,203384725,,"$3,500",DYCD,,71-07 Woodside Avenue,1st Floor,Woodside,NY,11377,To  develop a Language Bank to provide language access for Nepali-speaking immigrant communities.,,
Child Care Vouchers,,Administration for Children Services,136400434,,"$3,002,511",ACS,,,,,,,"This allocation restores funding for 4,400 child care vouchers for school-age children.",,
Discretionary Child Care ,NA,Administration for Children Services,136400434,,"$713,437",ACS,NA ,NA ,,,NY,,"This allocation restores funding for 4,019 contracted child care slots and 900 family child care slots (pro-rated for 9 months.) ",,
Job Training and Placement for Day Care Workers,,Administration for Children Services,136400434,,$0,ACS,,,,,,,This allocation provides funding for job training and placement assistance for day care workers. ,,
Youth,Mendez,"Advocates for Children of New York, Inc.",112247307,,"$3,500",DYCD,,151 West 30th Street 5th Floor,,New York,NY,10001,"Funding helps run the Jill Chaifetz Education Helpline which is an independent, comprehensive source of instant, free consultation on almost any school-related issue, including, for example, safety transfers to another school; special education; or school discipline and suspensions.",,
Youth,James,"Advocates for Children of New York, Inc.",112247307,,"$3,500",DYCD,,151 West 30th Street 5th Floor,,New York,NY,10001,"To provide for the Jill Chaifetz Education Helpline, which provides free consultation on a range of school related issues including special education, discipline and education rights.",,
Local,Comrie,"Advocates for Children of New York, Inc.",112247307,,"$3,500",DYCD,,151 West 30th Street 5th Floor,,New York,NY,10001,"To support the Jill Chaifetz Education Helpline, which assists parents with school-related issues, including, for example, safety transfers to another school; special education; or school discipline and suspensions.",,
Youth,Jackson,"Advocates for Children of New York, Inc.",112247307,,"$3,500",DYCD,,151 West 30th Street 5th Floor,,New York,NY,10001,Funds will support the Jill Chaifetz Education helpline assisting parents with consultations on school-related issues and navigating the public school system.,,
Jill Chaifetz Helpline,,"Advocates for Children of New York, Inc.",112247307,,"$200,000",DYCD,Jill Chaifitz Helpline,"151 W 30th St., 5th Floor",,New York,NY,10001,"This allocation restores funding to support the Jill Chaifetz Helpline operated by Advocates for Children that provides information to parents of public school children and the public about the policies, programs, and practices of the Department of Education and its schools.",,
Local,Dickens,African American Women In Cinema,134151020,,$0,DYCD,,2006 Westchester Avenue,,Parkchester,,10462,To support local women filmmakers by off-setting the cost of the pre-production as well as the production of the african American Women in Cinema film festival.,,
Local,Comrie,African American Women In Cinema,134151020,*,"$3,500",DYCD,,2006 Westchester Avenue,,Parkchester,NY,10462,"To support, mentor and showcase the work of minority women filmmakers and produce a film festival of minority women's films.  Funding will support the program and costs to produce the film festival.",,
Local,Williams,African American Women In Cinema,134151020,*,"$3,500",DYCD,,2006 Westchester Avenue,,Parkchester,NY,10462,"To support local women filmmakers, by off-setting the cost of the pre-production as well as the production of the African American Women in Cinema film festival.",,
Youth,Dickens,African Diaspora Film Festival,743058513,,"$4,000",DYCD,,535 Cathedral Parkway - St 14B,,New York,,10025,"To provide tickets for young people at elementary, intermediate and high school students to attend screenings at the African Diaspora Film Festival.",,
Local,Jackson,"African Hope Committee, Inc.",043784718,,"$3,500",DOHMH,,441 Convent Avenue Suite 4D,,New York,NY,10031,Funds will support a program to address the sexual behavior patterns of girls and women particularly in the African immigrant community to decrease the prevelance of HIV/AIDS.,,
Local,Foster,"African Hope Committee, Inc.",043784718,,"$5,000",DYCD,,441 Convent Avenue suite 4D,,New York,NY,10031,"To implement a program that will empower African immigrant women and young girls with knowledge and tools designed to reduce the prevalence of HIV/AIDS within New York City's African immigrant community, providing peer leadership training, and community/civic engagement opportunities.",,
Youth,Rose,"African Refuge, Inc.",010873188,,"$6,000",DYCD,,185 Park Hill Ave  Suite LB,,Staten Island,NY,10304,"To support a homework help program for youth in the Parkhill/Stapleton Community, including African Immigrants.",,
Local,Jackson,African Services Committee,133749744,,"$3,000",DYCD,,429 West 127th St,,New York,NY,10027,Funds will support immigration services and the ESOL program offering classes in basic literacy.,,
Adult Literacy Services Initiative,,African Services Committee,133749744,,"$10,000",DYCD,,,,,,,,,
HIV/AIDS Communities of Color,,African Services Committee,133749744,,"$28,800",DOHMH,,,,,,,,,
Infant Mortality Reduction,,African Services Committee,133749744,,"$22,320",DOHMH,,429 West 127th Street,,Manhattan,NY,10027,,,
Local,CC,"African Services Committee, Inc.",133749744,,"$20,000 ",DOHMH,,429 West 127th St,,New York,NY,10027,"Legal services include immigration services for a broad range of clients from over 30 countries each year. The program provides legal assistance with deferred action for childhood arrivals(DACA), employment, asylum, improper deportation, immigration status adjustment, family-based petitions, visa renewals, and citizenship.  Our ESOL program offers 3 evening lasses per week in basic literacy and ESOL Level 1, to 120 recently-arrived African immigrants per year.   ",,
Local,James,"African Voices Communications, Inc.",133687018,,"$5,000",DCLA,,270 West 96th Street,,New York,NY,10025,"To support Reel Sisters, a two-day film festival that showcases and supports women of color filmmakers.",,
Local,Williams,"African Voices Communications, Inc.",133687018,,"$3,500",DCLA,,270 West 96th Street,,New York,NY,10025,"To support Reel Sisters, a two-day film festival that showcases and supports women of color filmmakers.",,
HIV/AIDS Faith Based Initiative,,"African-American Muslim Commission on HIV/AIDS, The",112457198,,"$6,400",DOHMH,,,,,,,,,
Local,Comrie,"Afrikan Poetry Theatre, Inc.",112515828,,"$30,000",DCLA,,176-03 Jamaica Avenue,,Jamaica,NY,11432-5503,"To support cultural and educational programs, including childrens cultural workshops, poetry readings and workshops, Jazz concerts, youth after school programs, art exhibits and film screenings.",,
Discretionary Child Care ,Comrie,"Afro-American Parents Day Care Center, Inc.",132727406,,$0,ACS,Afro American Parents 3,118-44 Merrick Blvd,,,NY,,"This allocation restores funding for 4,019 contracted child care slots and 900 family child care slots (pro-rated for 9 months.) ",,
Discretionary Child Care ,Wills,"Afro-American Parents Day Care Center, Inc.",132727406,,"$780,000",ACS,Afro American Parents 2,112-06 Sutphin Blvd.,,,NY,,"This allocation restores funding for 4,019 contracted child care slots and 900 family child care slots (pro-rated for 9 months.) ",,
Discretionary Child Care ,Wills,"Afro-American Parents Day Care Center, Inc.",132727406,,"$600,000",ACS,Afro American Parents Ed. Center  #4,108-17 159th Street,,,NY,,"This allocation restores funding for 4,019 contracted child care slots and 900 family child care slots (pro-rated for 9 months.) ",,
Local,CC,After Hours Project,331007278,,"$35,000 ",DOHMH,,1204 Broadway,,Brooklyn,NY,11221,"To address the continued spread of HIV/AIDS in low-income and minority central Brooklyn neighborhoods significantly impacted by high rates of injection drug use (IDU), HIV/Hepatitis (A, B, and C) and sexually transmitted infections (STIs).",,
Local,Dilan,"After Hours Project, Inc.",331007278,,"$50,000",DOHMH,,After Hours Project,1204 Broadway,Brooklyn,NY,11221,"Funding for the After Hours Project staff, including Testers/Phlebotomist, a Treatment Readiness Specialist and an Outreach Specialist for work with older teens and adults who are at-risk or infected with HIV, hepatitis C (HCV), and sexually transmitted infections (STIs).",,
HIV/AIDS Communities of Color,,"After Hours Project, Inc.",331007278,,"$28,800",DOHMH,,,,,,,,,
Injection Drug Users Health Alliance (IDUHA Initiative),,"After Hours Project, Inc.",331007278,,"$65,469",DOHMH,,1232 Broadway,,Brooklyn,NY,11221,,,
After-Three Corporation,,"After School Corporation, The",134004600,,"$3,000,000",DYCD,,,,,,,,,
Boro,Richards,Agape Community Services Corporation,311785007,,"$4,679",DYCD,,13835 Springfield Blvd,,Springfield Gardens,NY,11413,"Funds will assist in creating various programs, activities and outings for the community, in the areas of Springfield Gardens and surrounding neighborhoods. Programs will range from youth activities, immigrant seminars, and a virtual summer camp. ",,
HIV/AIDS Faith Based Initiative,,Agape Tabernacle International Fellowship,113423637,,"$6,400",DOHMH,,,,,,,,,
Aging,Greenfield,"Agudath Israel of America Community Services, Inc.",133975090,,"$8,000",DFTA,,42 Broadway,,New York,NY,10004,"Funds will be used for rec/ed,  printing, replacement items, and contracts  fees",,
Aging,Jackson,"Agudath Israel of America Community Services, Inc.",133975090,,"$10,000",DFTA,,42 Broadway - 14th Floor,,New York,NY,10004,Funds will provide food for the Senior Center.,,
Local,Greenfield,"Agudath Israel of America Community Services, Inc.",133975090,,"$2,000",DFTA,,42 Broadway,,New York,NY,10004,"Funds will be used for rec/ed,  printing, replacement items, and contracts  fees",,
Local,Nelson,"Agudath Israel of America Community Services, Inc.",133975090,,"$5,000",DYCD,,42 Broadway 14th Floor,,New York,NY,10004,"To provide education, career counseling, and job services for unemployed and underemployed individuals. Services will include pre-employment counseling, literacy, and skills training, and advice and referrals for individuals facing credit card debt, family support issues or other issues.",,
Local,Quinn,AHL Foundation Inc.,522372747,,"$3,000",DCLA,,420 West 23rd Street Suite 7A,,New York,,10011,"To promote the work of emerging Korean-American artists, including through exhibitions, and by collecting and documenting materials and records related to Korean American artists.",,
HIV/AIDS Faith Based Initiative,,AIDS Center of Queens County,112837894,,"$12,800",DOHMH,,,,,,,,,
Local,Comrie,"AIDS Center of Queens County, Inc.",112837894,,"$5,000",DOHMH,,161-21 Jamaica Avenue,6th  7th Floors,Jamaica,NY,11432,"To provide food and nutritional services for the agency's youth programs, and to provide harm reduction and syringe exchange services.",,
HIV Prevention - Evidence-Based Behavioral Interventions,,"AIDS Center of Queens County, Inc.",112837894,,"$192,000",DOHMH,,,,,,,,,
HIV/AIDS Communities of Color,,"AIDS Center of Queens County, Inc.",112837894,,"$28,800",DOHMH,,,,,,,,,
Injection Drug Users Health Alliance (IDUHA Initiative),,"AIDS Center of Queens County, Inc.",112837894,,"$52,369",DOHMH,,97-45 Queens Boulevard,,Rego Park,NY,11374,,,
Local,Quinn,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,"$5,000",DOHMH,,41 East 11th Street 5th Floor,,New York,,10003,"To support a Health COACH program, providing people living with HIV and other chronic illnesses a one-on-one personal approach to care, accompanying them to appointments, sharing strategies for medication adherence, helping them communicate with their doctors and creating social connections that will sustain them in medical care. Funds will be used to train Peer Health Coaches and to support one dedicated Peer Health Coach.",,
Local,Garodnick,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,"$3,500",DOHMH,,41 East 11th Street 5th Floor,,New York,NY,10003,Funding will support programs to help HIV-positive people manage their health and navigate the medical system.,,
Local,Palma,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,"$5,000",DOHMH,,41 East 11th Street 5th Floor,,New York,NY,10003,"To provide dedicated Peer Health Coaches for individuals with HIV or other long term chronic health issues to provide support, advocacy and other services.  ",,
